586,2011-05-06 20:26:49.506573+00,2009-05-21 18:00:09.132477+00,Cwmaman Institute Tower Colliery,65,t,,,,
166,2009-03-14 18:19:14.182429+00,2009-03-14 18:19:14.182334+00,PolySteel (Flowers),24,f,,,,
1506,2010-06-06 12:11:57.225657+00,2010-06-06 12:11:57.212031+00,Horwich Old Prize,1695,f,,,,
169,2009-03-14 18:40:57.31663+00,2009-03-14 18:40:57.316535+00,Newstead Colliery Welfare,39,f,,,,
276,2009-05-03 16:38:42.946708+00,2009-05-03 16:38:42.945319+00,Chester Le Street Riverside,568,f,,,,
2186,2010-12-06 00:01:42.164609+00,2010-12-06 00:01:42.164541+00,Continental Airlines Auckland Brass,64,f,,,,
172,2009-03-14 21:52:09.065697+00,2009-03-14 21:52:09.0656+00,Milton Keynes Brass (Broseley),312,f,,,,
1348,2010-12-13 19:41:42.206113+00,2010-04-18 11:27:42.720789+00,Brassband Spijkerpakkenband,245,t,,,,
1284,2010-03-26 23:06:31.427048+00,2010-03-26 23:06:31.320613+00,Tadley (MGH) Band,1550,f,,,,
462,2011-05-06 20:26:49.50977+00,2009-05-10 20:58:57.468017+00,Cwmaman (Tower Colliery),65,t,,,,
1221,2010-03-13 22:40:07.502762+00,2010-03-13 22:40:07.502632+00,Mere Manor Brass,1487,f,,,,
180,2009-03-23 09:25:06.631057+00,2009-03-23 09:25:06.63101+00,Cockerton Silver,336,f,,,,
4986,2011-09-04 12:40:43.994342+00,2011-09-04 12:40:43.994259+00,Øresundets Brass Band,2263,f,,,,
5052,2011-09-14 17:25:28.421219+00,2011-09-14 17:25:28.421148+00,Thornley Public,583,f,,,,
2498,2011-02-17 13:12:57.094597+00,2011-02-17 13:12:57.094513+00,Grantham Town,2481,f,,,,
5054,2011-09-14 17:25:58.070596+00,2011-09-14 17:25:58.070539+00,Thornley Colliery Band,583,f,,,,
2440,2011-02-13 12:28:03.033843+00,2011-02-13 12:28:03.033769+00,Munn & Felton's (Footwear),10,f,,,,
2635,2011-02-19 17:13:22.526653+00,2011-02-19 17:13:22.510548+00,New Forest Vodafone,564,f,,,,
278,2009-05-03 17:11:50.52467+00,2009-05-03 17:11:50.524625+00,Hatfields of Colchester,606,f,,,,
3255,2011-04-05 22:00:54.998166+00,2011-04-05 22:00:54.963692+00,Rossington Main Colliery,278,f,,,,
191,2009-03-24 12:18:33.226166+00,2009-03-24 12:18:33.22612+00,Bon-Accord Silver,418,f,,,,
192,2009-03-24 12:21:53.595581+00,2009-03-24 12:21:53.595537+00,Boness and Carriden,279,f,,,,
757,2009-09-27 16:53:30.899026+00,2009-09-27 16:53:30.861274+00,Broseley Development MK,634,f,,,,
194,2009-03-24 13:22:49.471781+00,2009-03-24 13:22:49.47173+00,Wrexham Brass (NEWI),287,f,,,,
195,2009-03-25 16:15:42.798919+00,2009-03-25 16:15:42.798873+00,St. Ronans Silver,334,f,,,,
105,2012-03-26 19:20:10.942084+00,2009-03-12 21:46:49.680652+00,Hawk Green Marple,199,t,,,8,
146,2012-05-08 19:52:28.936107+00,2009-03-14 17:27:50.290374+00,Flowers Gloucester,24,t,,,8,
106,2012-05-28 15:20:27.251949+00,2009-03-12 21:50:59.893664+00,Ramsay Town,209,t,,,507,
2770,2012-07-20 10:42:46.993943+00,2011-02-22 22:51:17.49586+00,Totness,378,t,,,507,
151,2013-09-09 10:44:23.263641+00,2009-03-14 17:32:44.288319+00,North Skelton BSC Teesside,403,t,,,507,
5108,2011-09-23 21:35:28.279936+00,2011-09-23 21:35:28.279865+00,Ystalyfera Public Silver,2566,f,,,,
711,2011-06-14 21:28:30.06036+00,2009-07-25 13:09:59.465953+00,Buckhaven Methil Miners,354,t,,,,
6558,2012-02-11 16:45:17.935666+00,2012-02-11 16:44:39.771055+00,A.M.O.C.O.,1497,t,,,,
200,2009-04-05 11:49:13.857186+00,2009-04-05 11:49:13.85714+00,Bo'ness & Carriden,279,f,,,,
6564,2012-02-12 13:30:29.149382+00,2012-02-12 13:30:29.149293+00,United Norwest Co-op New Mills,1863,f,,,,
202,2009-04-05 11:57:28.129986+00,2009-04-05 11:57:28.129926+00,Buckhaven & Methil Brass,354,f,,,,
5573,2011-11-20 12:33:33.764242+00,2011-11-20 12:33:33.764161+00,Brass Band Breukelen,1735,f,,,,
179,2012-01-14 18:40:04.311241+00,2009-03-23 09:15:40.340376+00,Wansbecks Ashington Colliery,306,t,,,,
142,2012-01-29 13:16:03.528684+00,2009-03-14 17:16:37.244216+00,SWEB Camborne Town,46,t,,,,
204,2009-04-05 12:03:31.61815+00,2009-04-05 12:03:31.618105+00,Irvine & Dreghorn Brass,380,f,,,,
108,2010-11-12 22:40:35.892852+00,2009-03-12 21:52:11.343513+00,Parr (Richardson Ltd St Helens),229,t,,,,
219,2010-11-13 16:43:33.597181+00,2009-04-05 13:00:08.946929+00,Aycliffe & Brancepeth,592,t,,,,
208,2009-04-05 12:38:55.861232+00,2009-04-05 12:38:55.861172+00,The Kippax Band,131,f,,,,
209,2009-04-05 12:42:46.88046+00,2009-04-05 12:42:46.880352+00,Unity Brass (FMUFS),479,f,,,,
210,2009-04-05 12:46:40.452811+00,2009-04-05 12:46:40.452765+00,St Keverne,521,f,,,,
6566,2012-02-12 16:20:39.388188+00,2012-02-12 16:18:28.760068+00,Seffle Tower Brass,2910,f,,,,
212,2009-04-05 12:47:23.224709+00,2009-04-05 12:47:23.224661+00,Stannington Brass,125,f,,,,
3163,2011-03-29 01:12:07.977826+00,2011-03-29 01:12:07.977756+00,Chapel-en-le Frith Town,766,f,,,,
582,2011-02-12 16:33:50.590763+00,2009-05-20 15:35:23.701102+00,Corus (Port Talbot) Brass,462,t,,,,
215,2009-04-05 12:50:27.068375+00,2009-04-05 12:50:27.068329+00,Ratby Co-operative 'Mid',511,f,,,,
2724,2011-02-20 17:01:52.057934+00,2011-02-20 17:01:52.05786+00,Storey's Decorative Products,2551,f,,,,
4764,2011-08-21 07:38:34.966843+00,2011-08-21 07:38:34.966686+00,Kirkless NCB,1506,f,,,,
639,2010-11-13 16:46:48.21043+00,2009-06-05 21:14:05.885707+00,Burgermusik Lucerne,66,t,,,,
451,2010-11-12 22:40:35.899611+00,2009-05-10 15:46:28.329002+00,Parr Richardson Ltd (St Helens),229,t,,,,
1222,2010-03-13 22:52:44.10492+00,2010-03-13 22:52:44.104868+00,Fulwell Brass,824,f,,,,
228,2009-04-18 19:04:41.546071+00,2009-04-18 19:04:41.545965+00,Thoresby Colliery Youth Band,384,f,,,,
229,2009-04-18 19:08:03.205158+00,2009-04-18 19:08:03.205056+00,St Ronan's Silver Band,334,f,,,,
231,2009-04-18 19:08:23.810823+00,2009-04-18 19:08:23.810714+00,St Joseph's Band,669,f,,,,
5670,2011-12-08 21:55:18.391017+00,2011-12-08 21:55:18.390924+00,Sherburn-in-Elmet High School,3728,f,,,,
234,2011-06-17 21:17:22.605022+00,2009-04-18 19:08:40.975389+00,St Davids,651,t,,,,
2416,2011-02-12 16:33:50.593802+00,2011-02-12 16:33:50.554333+00,British Steel (Port Talbot),462,f,,,,
236,2009-04-18 19:08:51.050071+00,2009-04-18 19:08:51.049967+00,St Breward Silver Band,348,f,,,,
273,2012-02-12 17:34:51.091562+00,2009-05-02 21:43:12.546983+00,Tredegar Band,15,t,,,,
238,2009-04-18 19:09:01.986467+00,2009-04-18 19:09:01.986357+00,St Albans City,597,f,,,,
2396,2011-02-12 16:46:20.978924+00,2011-02-08 13:43:07.371941+00,Burnage & District,2591,t,,,,
242,2009-04-19 17:51:45.428273+00,2009-04-19 17:51:45.428222+00,Wallberg Band,63,f,,,,
5230,2011-10-06 20:38:36.365753+00,2011-10-06 20:38:36.365676+00,West Lothian Schools Brass Band,1924,f,,,,
244,2009-04-25 21:17:18.12167+00,2009-04-25 21:17:18.121624+00,Fairey Engineering Works,6,f,,,,
529,2010-11-12 22:40:35.902553+00,2009-05-15 20:57:07.236533+00,Parr (Richardson) St Helens,229,t,,,,
246,2009-04-25 21:18:15.275989+00,2009-04-25 21:18:15.275942+00,Whitburn Burgh,12,f,,,,
247,2009-04-25 21:18:35.430797+00,2009-04-25 21:18:35.430708+00,Newtongrange & Bilston Colliery,232,f,,,,
2333,2011-02-21 20:04:06.266139+00,2011-02-05 21:01:10.868457+00,Foden Motor Works Band,3,t,,,,
249,2009-04-25 21:29:54.129832+00,2009-04-25 21:29:54.129786+00,Kirkintilloch Silver,13,f,,,,
251,2009-04-25 21:35:38.602557+00,2009-04-25 21:35:38.602512+00,Kinneil Colliery Silver,259,f,,,,
252,2009-04-25 22:12:51.365392+00,2009-04-25 22:12:51.365243+00,Broseley Brass,312,f,,,,
253,2009-04-25 22:32:30.060686+00,2009-04-25 22:32:30.060577+00,City of Hull,9,f,,,,
255,2009-04-28 20:12:51.651338+00,2009-04-28 20:12:51.651291+00,Jackfield (Elcock Reisen),314,f,,,,
3176,2011-05-07 17:01:00.385785+00,2011-03-29 16:03:39.313882+00,St. Sebastians Wokingham,614,t,,,,
5147,2011-09-28 13:45:13.655741+00,2011-09-28 13:45:13.65554+00,Friday-Ad Brass (Uckfield),749,f,,,,
1302,2010-03-30 20:27:51.808629+00,2010-03-30 20:27:51.494542+00,City of Cardiff (Melingriffith) Training Band,1553,f,,,,
4028,2011-05-27 08:51:43.902111+00,2011-05-27 08:51:43.902039+00,Flockton United Band,2683,f,,,,
2459,2011-02-14 20:37:32.031915+00,2011-02-14 20:37:31.932597+00,Weymann's (Works) Band,804,f,,,,
263,2009-04-29 16:51:02.334112+00,2009-04-29 16:51:02.334065+00,Priest Lindley,54,f,,,,
330,2010-11-12 22:40:35.908849+00,2009-05-03 20:43:15.164642+00,Parr (St Helens),229,t,,,,
3164,2011-03-29 01:15:56.04847+00,2011-03-29 01:15:56.048387+00,Darnall W.M.C. Silver,3274,f,,,,
268,2009-04-29 16:58:13.605829+00,2009-04-29 16:58:13.605783+00,Hatfield Coal Company,36,f,,,,
1059,2011-02-12 17:03:07.22591+00,2009-11-08 18:28:47.734545+00,Hoggarth's Works Band,1362,f,,,,
270,2009-04-29 17:15:08.5534+00,2009-04-29 17:15:08.553353+00,Yorkshire Building Society Hawley,129,f,,,,
5109,2011-09-23 21:38:57.929954+00,2011-09-23 21:38:57.929881+00,Briton Ferry Town,454,f,,,,
272,2009-04-29 17:30:49.471688+00,2009-04-29 17:30:49.471604+00,Worth Valley Brass Haworth,158,f,,,,
